model,condition,endpoint,successes,total,rate,ci_low,ci_high
gpt_5_4_mini,rag,raw_compact_schema_valid,31,32,0.96875,0.8425573617998744,0.9944621398359969
gpt_5_4_mini,rag,raw_policy_conformant,24,32,0.75,0.5789344100575552,0.8674759908149096
gpt_5_4_mini,rag,valid_evidence_attachment,31,32,0.96875,0.8425573617998744,0.9944621398359969
gpt_5_4_mini,rag,normalized_policy_conformant,32,32,1.0,0.8928208017449293,1.0
gpt_5_4_mini,no_rag,raw_compact_schema_valid,29,32,0.90625,0.7578184527161212,0.9675984487016337
gpt_5_4_mini,no_rag,raw_policy_conformant,21,32,0.65625,0.4831108797896222,0.7958956207556682
gpt_5_4_mini,no_rag,valid_evidence_attachment,0,32,0.0,0.0,0.1071791982550706
gpt_5_4_mini,no_rag,normalized_policy_conformant,32,32,1.0,0.8928208017449293,1.0
gpt_5_4_mini,mismatched_rag,raw_compact_schema_valid,30,32,0.9375,0.7985287685584542,0.982689432968359
gpt_5_4_mini,mismatched_rag,raw_policy_conformant,23,32,0.71875,0.5462549057408342,0.8443541950225723
gpt_5_4_mini,mismatched_rag,valid_evidence_attachment,30,32,0.9375,0.7985287685584542,0.982689432968359
gpt_5_4_mini,mismatched_rag,normalized_policy_conformant,32,32,1.0,0.8928208017449293,1.0
gpt_5_4,rag,raw_compact_schema_valid,32,32,1.0,0.8928208017449293,1.0
gpt_5_4,rag,raw_policy_conformant,25,32,0.78125,0.6124500635075647,0.8897616374739581
gpt_5_4,rag,valid_evidence_attachment,32,32,1.0,0.8928208017449293,1.0
gpt_5_4,rag,normalized_policy_conformant,32,32,1.0,0.8928208017449293,1.0
gpt_5_4,no_rag,raw_compact_schema_valid,32,32,1.0,0.8928208017449293,1.0
gpt_5_4,no_rag,raw_policy_conformant,25,32,0.78125,0.6124500635075647,0.8897616374739581
gpt_5_4,no_rag,valid_evidence_attachment,0,32,0.0,0.0,0.1071791982550706
gpt_5_4,no_rag,normalized_policy_conformant,32,32,1.0,0.8928208017449293,1.0
gpt_5_4,mismatched_rag,raw_compact_schema_valid,32,32,1.0,0.8928208017449293,1.0
gpt_5_4,mismatched_rag,raw_policy_conformant,24,32,0.75,0.5789344100575552,0.8674759908149096
gpt_5_4,mismatched_rag,valid_evidence_attachment,32,32,1.0,0.8928208017449293,1.0
gpt_5_4,mismatched_rag,normalized_policy_conformant,32,32,1.0,0.8928208017449293,1.0
