condition,metric,successes,total,rate,ci_low,ci_high
rag,raw_compact_schema_validity,153,160,0.95625,0.9124569584575362,0.9786483884484656
rag,raw_full_schema_validity,0,160,0.0,0.0,0.02344619517150519
rag,valid_evidence_attachment,158,160,0.9875,0.9555746308159091,0.9965653288918735
rag,raw_policy_conformance,111,160,0.69375,0.6184822211553903,0.7599323782156514
rag,normalized_schema_validity,160,160,1.0,0.9765538048284949,1.0
rag,normalized_policy_conformance,160,160,1.0,0.9765538048284949,1.0
no_rag,raw_compact_schema_validity,147,160,0.91875,0.8659596262286716,0.9519041853151927
no_rag,raw_full_schema_validity,0,160,0.0,0.0,0.02344619517150519
no_rag,valid_evidence_attachment,0,160,0.0,0.0,0.02344619517150519
no_rag,raw_policy_conformance,102,160,0.6375,0.5605966911485732,0.7079556051792627
no_rag,normalized_schema_validity,160,160,1.0,0.9765538048284949,1.0
no_rag,normalized_policy_conformance,160,160,1.0,0.9765538048284949,1.0
mismatched_rag,raw_compact_schema_validity,148,160,0.925,0.8734917309593303,0.9565790031448905
mismatched_rag,raw_full_schema_validity,0,160,0.0,0.0,0.02344619517150519
mismatched_rag,valid_evidence_attachment,151,160,0.94375,0.8965638035410534,0.9701276982442358
mismatched_rag,raw_policy_conformance,110,160,0.6875,0.6119941011632154,0.7542135756474703
mismatched_rag,normalized_schema_validity,160,160,1.0,0.9765538048284949,1.0
mismatched_rag,normalized_policy_conformance,160,160,1.0,0.9765538048284949,1.0
