bin,lower,upper,count,mean_confidence,accuracy,score
3,0.13333333333333333,0.2,2,0.1847462194027521,0.0,Raw Random Forest
4,0.2,0.26666666666666666,577,0.2526303201948159,0.2391681109185442,Raw Random Forest
5,0.26666666666666666,0.3333333333333333,3816,0.3048633114533886,0.3231132075471698,Raw Random Forest
6,0.3333333333333333,0.4,5170,0.3661700816562416,0.3804642166344294,Raw Random Forest
7,0.4,0.4666666666666667,4418,0.43309350293626037,0.4051607062019013,Raw Random Forest
8,0.4666666666666667,0.5333333333333333,4858,0.5011693415176175,0.4510086455331412,Raw Random Forest
9,0.5333333333333333,0.6,4745,0.5648217947442371,0.4851422550052687,Raw Random Forest
10,0.6,0.6666666666666666,3869,0.6335487686621882,0.5929180666838977,Raw Random Forest
11,0.6666666666666666,0.7333333333333333,5621,0.7025936729951529,0.6972069026863548,Raw Random Forest
12,0.7333333333333333,0.8,6531,0.7635424337089566,0.7844128004899709,Raw Random Forest
13,0.8,0.8666666666666667,5231,0.8329848031255458,0.8665647103804244,Raw Random Forest
14,0.8666666666666667,0.9333333333333333,3854,0.8999109199771889,0.9286455630513752,Raw Random Forest
15,0.9333333333333333,1.0,29907,0.9912717624764131,0.9977931587922559,Raw Random Forest
3,0.13333333333333333,0.2,1,0.1969849969866295,0.0,Sigmoid-adjusted
4,0.2,0.26666666666666666,194,0.2490485986118025,0.26288659793814434,Sigmoid-adjusted
5,0.26666666666666666,0.3333333333333333,1542,0.30673045288106554,0.2808041504539559,Sigmoid-adjusted
6,0.3333333333333333,0.4,2548,0.36762439989009055,0.3292778649921507,Sigmoid-adjusted
7,0.4,0.4666666666666667,3186,0.43570717255978336,0.3483992467043315,Sigmoid-adjusted
8,0.4666666666666667,0.5333333333333333,4350,0.4997663531112607,0.3813793103448276,Sigmoid-adjusted
9,0.5333333333333333,0.6,3927,0.5658896685128989,0.3913929208046855,Sigmoid-adjusted
10,0.6,0.6666666666666666,3527,0.6337935080263833,0.44485398355542954,Sigmoid-adjusted
11,0.6666666666666666,0.7333333333333333,3786,0.701225087124774,0.5,Sigmoid-adjusted
12,0.7333333333333333,0.8,5899,0.7701971961342459,0.6248516697745381,Sigmoid-adjusted
13,0.8,0.8666666666666667,12230,0.8350613176932549,0.7688470973017171,Sigmoid-adjusted
14,0.8666666666666667,0.9333333333333333,37409,0.894017694948998,0.9778128257905851,Sigmoid-adjusted
